"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
0, 1.200000000000000e-02, 6.000000000000000e-03, 1.814700216536043e+00, 1.371309987306910e-02, 1.827696068480500e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.261162796956569e+05, 4.220497986371259e-04
1, 2.300000000000000e-02, 0.000000000000000e+00, 1.587484247681718e+00, 1.199610262732056e-02, 1.598818188106662e-12, 1.018317502304150e+01, -1.019058797336800e+00, -1.115142350129088e+05, 3.692039893442229e-04
2, 1.400000000000000e-02, 6.000000000000000e-03, 1.772189007159189e+00, 1.339185647727437e-02, 1.784887204522974e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.249173912123001e+05, 4.121623925372513e-04
3, 3.500000000000000e-02, 0.000000000000000e+00, 1.384342551915984e+00, 1.046102684067626e-02, 1.395075249769950e-12, 4.740572209813786e+01, 1.979408336545642e+01, -7.286614173499827e+04, 3.212364770324636e-04
4, 2.900000000000000e-02, 3.500000000000000e-03, 1.556305316835948e+00, 1.176049357810734e-02, 1.567609812439861e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.090444608221048e+05, 3.619537617516302e-04
5, 6.000000000000000e-02, 0.000000000000000e+00, 8.230396790862839e-02, 6.219443418787717e-04, 8.313686874804028e-14, 5.411288093151930e+00, 3.511637272387816e-01, 1.532882605690770e+05, 5.076103975567786e+03
6, 6.000000000000000e-02, 5.500000000000000e-03, 5.256894704508162e-01, 3.972464512225991e-03, 5.280235914417956e-13, 0.000000000000000e+00, 0.000000000000000e+00, 4.075849018734958e+04, 3.266898792059245e+02
7, 8.000000000000000e-02, 0.000000000000000e+00, 1.345989928274542e+00, 1.017120852600937e-02, 1.355927827253923e-12, -2.621054975533856e+01, 2.645004219563432e-01, -8.849486262701420e+04, 3.245441499191911e-04
8, 8.000000000000000e-02, 5.500000000000000e-03, 1.353566299270167e+00, 1.022846069978033e-02, 1.362994502572380e-12, 0.000000000000000e+00, 0.000000000000000e+00, -9.137616692839323e+04, 3.153499832991182e-04
9, 8.550000000000001e-02, 1.100000000000000e-02, 1.407803284309783e+00, 1.063831197211876e-02, 1.418026827413985e-12, 0.000000000000000e+00, 0.000000000000000e+00, -9.931410965022886e+04, 3.276072639357332e-04
10, 1.185000000000000e-01, 1.100000000000000e-02, 1.382844997217175e+00, 1.044971030643007e-02, 1.393003553787187e-12, -4.904253958555402e+00, 5.920557980441611e-03, -9.431201898725175e+04, 3.338538345083581e-04
11, 1.185000000000000e-01, 0.000000000000000e+00, 1.382821724609414e+00, 1.044953444289587e-02, 1.392980459633050e-12, -4.890530284328117e+00, 1.999246513360605e-03, -9.430804098283319e+04, 3.338644932406285e-04
12, 1.200000000000000e-02, 4.000000000000000e-03, 1.822360715840090e+00, 1.377098777713053e-02, 1.834954258113523e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.271565804723404e+05, 4.238310646115253e-04
13, 1.700000000000000e-02, 4.000000000000000e-03, 1.702388535852968e+00, 1.286439699637108e-02, 1.714596254656038e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.200956855996392e+05, 3.959286795844123e-04
14, 2.200000000000000e-02, 0.000000000000000e+00, 1.545197101782267e+00, 1.167655240641799e-02, 1.556179557558530e-12, 0.000000000000000e+00, 3.709907156709238e+01, -1.086631331162899e+05, 3.593702971753632e-04
15, 2.200000000000000e-02, 8.000000000000000e-04, 1.585029487033054e+00, 1.197755279874091e-02, 1.596393121580723e-12, 4.501165285003689e-01, -1.031515086138907e+00, -1.118535929501129e+05, 3.686339708911338e-04
16, 6.000000000000000e-02, 8.000000000000000e-04, 8.393230496493131e-02, 6.342491559061967e-04, 8.484921652215591e-14, 5.322601058589414e+00, 6.722295565948605e-01, 1.529436972065971e+05, 4.968003174061550e+03
17, 1.270316136710566e-02, 6.000000000000000e-03, 1.795325248944734e+00, 1.356668953862604e-02, 1.808159630543255e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.262796986410388e+05, 4.175433314927339e-04
18, 1.324845582513203e-02, 6.000000000000000e-03, 1.782680293197624e+00, 1.347113571685942e-02, 1.795446910926432e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.254443236426572e+05, 4.146024141479791e-04
19, 1.367150771748992e-02, 6.000000000000000e-03, 1.776807790829167e+00, 1.342675912465456e-02, 1.789542572351009e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.252603194585738e+05, 4.132365882533896e-04
20, 1.428770100073820e-02, 5.952049833210299e-03, 1.768903801623904e+00, 1.336703124652914e-02, 1.781596884896811e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.246830517585430e+05, 4.113983344690602e-04
21, 1.453222866221732e-02, 5.911295222963781e-03, 1.763556529259535e+00, 1.332662364679844e-02, 1.776177652323516e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.243137253700482e+05, 4.101546927478127e-04
22, 1.477671186705127e-02, 5.870548022158121e-03, 1.758418781394157e+00, 1.328779935562440e-02, 1.770988296327365e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.239574932343994e+05, 4.089597974285859e-04
23, 1.502119507188526e-02, 5.829800821352458e-03, 1.753509843088345e+00, 1.325070410394324e-02, 1.766027552676058e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.236094467860979e+05, 4.078180999089316e-04
24, 1.526567827671954e-02, 5.789053620546744e-03, 1.748230575996266e+00, 1.321081039795774e-02, 1.760690024099325e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.232243643197431e+05, 4.065902840767996e-04
25, 1.551016148155366e-02, 5.748306419741058e-03, 1.742623237754205e+00, 1.316843756489438e-02, 1.755017215531986e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.228334989657507e+05, 4.052861678247957e-04
26, 1.575464468638828e-02, 5.707559218935287e-03, 1.737210353696833e+00, 1.312753415891934e-02, 1.749565852752030e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.224346387464453e+05, 4.040272750492063e-04
27, 1.599912789122160e-02, 5.666812018129734e-03, 1.730993148807543e+00, 1.308055276177100e-02, 1.743308257626378e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.219627606575447e+05, 4.025813191132584e-04
28, 1.624361109605622e-02, 5.626064817323964e-03, 1.724015603481728e+00, 1.302782571900669e-02, 1.736243083126653e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.214867397508746e+05, 4.009585305103391e-04
29, 1.648809430088952e-02, 5.585317616518414e-03, 1.717241182560446e+00, 1.297663362136486e-02, 1.729377720220644e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.210245777973287e+05, 3.993829930913366e-04
30, 1.673257750572327e-02, 5.544570415712788e-03, 1.710374469806140e+00, 1.292474410432991e-02, 1.722418449878554e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.205337999510901e+05, 3.977859742644535e-04
31, 1.697706071055612e-02, 5.503823214907313e-03, 1.703097267166052e+00, 1.286975264861132e-02, 1.715090317479844e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.200181996262470e+05, 3.960935061703129e-04
32, 1.722154391538976e-02, 5.463076014101707e-03, 1.697216477630574e+00, 1.282531343297795e-02, 1.709241589753501e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.194915185879434e+05, 3.947258047954571e-04
33, 1.746602712022376e-02, 5.422328813296040e-03, 1.691692452608342e+00, 1.278357017084510e-02, 1.703740353638393e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.190742141326862e+05, 3.934410376509788e-04
34, 1.771051032505757e-02, 5.381581612490405e-03, 1.684088438289109e+00, 1.272610910546056e-02, 1.696022524732299e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.185820331796429e+05, 3.916725569734172e-04
35, 1.795499352989131e-02, 5.340834411684783e-03, 1.675933700342411e+00, 1.266448640057368e-02, 1.687798292453577e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.180102351744667e+05, 3.897759925224481e-04
36, 1.819947673472408e-02, 5.300087210879320e-03, 1.668227459697183e+00, 1.260625284406065e-02, 1.680055028323863e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.174193095040865e+05, 3.879837322745480e-04
37, 1.844395993955857e-02, 5.259340010073572e-03, 1.660710058141388e+00, 1.254944628318560e-02, 1.672502531290710e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.168407448859747e+05, 3.862353894565781e-04
38, 1.868844314439261e-02, 5.218592809267898e-03, 1.653384660650765e+00, 1.249409063464189e-02, 1.665126355150020e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.163396719591117e+05, 3.845317012186871e-04
39, 1.893292634922717e-02, 5.177845608462139e-03, 1.646055244072031e+00, 1.243870461515527e-02, 1.657752093153625e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.158343563150622e+05, 3.828270854051842e-04
40, 1.917740955405981e-02, 5.137098407656699e-03, 1.639114648651828e+00, 1.238625679082119e-02, 1.650795799083158e-12, 0.000000000000000e+00, 0.000000000000000e+00, -1.152856031093172e+05, 3.812128962017815e-04
